time,v(1),i(V1),v(X0.q)
2.0028000e-02,2.5101555e-01,-1.2135508e-06,2.4878271e-08
2.0128000e-02,2.5226220e-01,-1.2131259e-06,2.4999605e-08
2.0228000e-02,2.5350875e-01,-1.2127013e-06,2.5120897e-08
2.0328000e-02,2.5475520e-01,-1.2122724e-06,2.5242145e-08
2.0428000e-02,2.5600155e-01,-1.2118439e-06,2.5363351e-08
2.0528000e-02,2.5724780e-01,-1.2114111e-06,2.5484514e-08
2.0628000e-02,2.5849395e-01,-1.2109787e-06,2.5605633e-08
2.0728000e-02,2.5973999e-01,-1.2105420e-06,2.5726709e-08
2.0828000e-02,2.6098594e-01,-1.2101057e-06,2.5847742e-08
2.0928000e-02,2.6223178e-01,-1.2096651e-06,2.5968730e-08
2.1028000e-02,2.6347751e-01,-1.2092249e-06,2.6089675e-08
2.1128000e-02,2.6472315e-01,-1.2087804e-06,2.6210575e-08
2.1228000e-02,2.6596867e-01,-1.2083363e-06,2.6331431e-08
2.1328000e-02,2.6721410e-01,-1.2078880e-06,2.6452242e-08
2.1428000e-02,2.6845942e-01,-1.2074400e-06,2.6573009e-08
2.1528000e-02,2.6970463e-01,-1.2069878e-06,2.6693730e-08
2.1628000e-02,2.7094973e-01,-1.2065360e-06,2.6814406e-08
2.1728000e-02,2.7219473e-01,-1.2060799e-06,2.6935037e-08
2.1828000e-02,2.7343962e-01,-1.2056242e-06,2.7055622e-08
2.1928000e-02,2.7468440e-01,-1.2051643e-06,2.7176162e-08
2.2028000e-02,2.7592908e-01,-1.2047048e-06,2.7296655e-08
2.2128000e-02,2.7717364e-01,-1.2042410e-06,2.7417102e-08
2.2228000e-02,2.7841810e-01,-1.2037777e-06,2.7537503e-08
2.2328000e-02,2.7966245e-01,-1.2033101e-06,2.7657858e-08
2.2428000e-02,2.8090668e-01,-1.2028429e-06,2.7778165e-08
2.2528000e-02,2.8215081e-01,-1.2023715e-06,2.7898426e-08
2.2628000e-02,2.8339482e-01,-1.2019004e-06,2.8018640e-08
2.2728000e-02,2.8463872e-01,-1.2014252e-06,2.8138806e-08
2.2828000e-02,2.8588251e-01,-1.2009504e-06,2.8258925e-08
2.2928000e-02,2.8712619e-01,-1.2004713e-06,2.8378996e-08
2.3028000e-02,2.8836975e-01,-1.1999927e-06,2.8499019e-08
2.3128000e-02,2.8961320e-01,-1.1995099e-06,2.8618994e-08
2.3228000e-02,2.9085654e-01,-1.1990275e-06,2.8738921e-08
2.3328000e-02,2.9209976e-01,-1.1985409e-06,2.8858799e-08
2.3428000e-02,2.9334286e-01,-1.1980547e-06,2.8978629e-08
2.3528000e-02,2.9458585e-01,-1.1975643e-06,2.9098410e-08
2.3628000e-02,2.9582872e-01,-1.1970743e-06,2.9218142e-08
2.3728000e-02,2.9707148e-01,-1.1965802e-06,2.9337825e-08
2.3828000e-02,2.9831412e-01,-1.1960865e-06,2.9457458e-08
2.3928000e-02,2.9955664e-01,-1.1955885e-06,2.9577042e-08
2.4028000e-02,3.0079904e-01,-1.1950911e-06,2.9696576e-08
2.4128000e-02,3.0204132e-01,-1.1945894e-06,2.9816060e-08
2.4228000e-02,3.0328349e-01,-1.1940882e-06,2.9935494e-08
2.4328000e-02,3.0452553e-01,-1.1935828e-06,3.0054877e-08
2.4428000e-02,3.0576746e-01,-1.1930779e-06,3.0174210e-08
2.4528000e-02,3.0700926e-01,-1.1925687e-06,3.0293493e-08
