time,v(i1),v(X0.Q),v(X0.x)
1.1441550e-05,-6.5633052e-01,-6.5644091e-11,1.0001682e-10
1.1451550e-05,-6.6056461e-01,-6.6067572e-11,1.0001682e-10
1.1461550e-05,-6.6479219e-01,-6.6490401e-11,1.0001682e-10
1.1471550e-05,-6.6901321e-01,-6.6912574e-11,1.0001682e-10
1.1481550e-05,-6.7322762e-01,-6.7334086e-11,1.0001682e-10
1.1491550e-05,-6.7743539e-01,-6.7754934e-11,1.0001682e-10
1.1501550e-05,-6.8163648e-01,-6.8175113e-11,1.0001682e-10
1.1511550e-05,-6.8583083e-01,-6.8594619e-11,1.0001682e-10
1.1521550e-05,-6.9001842e-01,-6.9013449e-11,1.0001682e-10
1.1531550e-05,-6.9419920e-01,-6.9431597e-11,1.0001682e-10
1.1541550e-05,-6.9837313e-01,-6.9849059e-11,1.0001682e-10
1.1551550e-05,-7.0254016e-01,-7.0265833e-11,1.0001682e-10
1.1561550e-05,-7.0670026e-01,-7.0681913e-11,1.0001682e-10
1.1571550e-05,-7.1085338e-01,-7.1097295e-11,1.0001682e-10
1.1581550e-05,-7.1499949e-01,-7.1511976e-11,1.0001682e-10
1.1591550e-05,-7.1913854e-01,-7.1925950e-11,1.0001682e-10
1.1601550e-05,-7.2327050e-01,-7.2339215e-11,1.0001682e-10
1.1611550e-05,-7.2739531e-01,-7.2751766e-11,1.0001682e-10
1.1621550e-05,-7.3151295e-01,-7.3163599e-11,1.0001682e-10
1.1631550e-05,-7.3562337e-01,-7.3574710e-11,1.0001682e-10
1.1641550e-05,-7.3972652e-01,-7.3985095e-11,1.0001682e-10
1.1651550e-05,-7.4382238e-01,-7.4394749e-11,1.0001682e-10
1.1661550e-05,-7.4791090e-01,-7.4803670e-11,1.0001682e-10
1.1671550e-05,-7.5199203e-01,-7.5211852e-11,1.0001682e-10
1.1681550e-05,-7.5606574e-01,-7.5619291e-11,1.0001682e-10
1.1691550e-05,-7.6013199e-01,-7.6025985e-11,1.0001682e-10
1.1701550e-05,-7.6419074e-01,-7.6431928e-11,1.0001682e-10
1.1711550e-05,-7.6824194e-01,-7.6837116e-11,1.0001682e-10
1.1721550e-05,-7.7228556e-01,-7.7241546e-11,1.0001682e-10
1.1731550e-05,-7.7632156e-01,-7.7645214e-11,1.0001682e-10
1.1741550e-05,-7.8034990e-01,-7.8048116e-11,1.0001682e-10
1.1751550e-05,-7.8437054e-01,-7.8450247e-11,1.0001682e-10
1.1761550e-05,-7.8838344e-01,-7.8851604e-11,1.0001682e-10
1.1771550e-05,-7.9238855e-01,-7.9252183e-11,1.0001682e-10
1.1781550e-05,-7.9638584e-01,-7.9651980e-11,1.0001682e-10
1.1791550e-05,-8.0037528e-01,-8.0050990e-11,1.0001682e-10
1.1801550e-05,-8.0435681e-01,-8.0448578e-11,1.0001603e-10
1.1811550e-05,-8.0833041e-01,-8.0843823e-11,1.0001333e-10
1.1821550e-05,-8.1229602e-01,-8.1236257e-11,1.0000817e-10
1.1831550e-05,-8.1625363e-01,-8.1625576e-11,1.0000022e-10
1.1841550e-05,-8.2020317e-01,-8.2011589e-11,9.9989307e-11
1.1851550e-05,-8.2414462e-01,-8.2394194e-11,9.9975340e-11
1.1861550e-05,-8.2807794e-01,-8.2773346e-11,9.9958320e-11
1.1871550e-05,-8.3200308e-01,-8.3149034e-11,9.9938278e-11
1.1881550e-05,-8.3592001e-01,-8.3521257e-11,9.9915263e-11
1.1891550e-05,-8.3982869e-01,-8.3890021e-11,9.9889323e-11
1.1901550e-05,-8.4372908e-01,-8.4255325e-11,9.9860506e-11
1.1911550e-05,-8.4762115e-01,-8.4617168e-11,9.9828850e-11
1.1921550e-05,-8.5150485e-01,-8.4975539e-11,9.9794389e-11
1.1931550e-05,-8.5538014e-01,-8.5330429e-11,9.9757149e-11
1.1941550e-05,-8.5924700e-01,-8.5681819e-11,9.9717153e-11
1.1951550e-05,-8.6310537e-01,-8.6029691e-11,9.9674419e-11
1.1961550e-05,-8.6695522e-01,-8.6373851e-11,9.9628965e-11
1.1971550e-05,-8.7079652e-01,-8.6714615e-11,9.9580801e-11
1.1981550e-05,-8.7462922e-01,-8.7051793e-11,9.9529938e-11
1.1991550e-05,-8.7845330e-01,-8.7385358e-11,9.9476385e-11
1.2001550e-05,-8.8226870e-01,-8.7715287e-11,9.9420151e-11
1.2011550e-05,-8.8607539e-01,-8.8041553e-11,9.9361244e-11
1.2021550e-05,-8.8987334e-01,-8.8364130e-11,9.9299671e-11
1.2031550e-05,-8.9366250e-01,-8.8682992e-11,9.9235440e-11
1.2041550e-05,-8.9744285e-01,-8.8998113e-11,9.9168558e-11
1.2051550e-05,-9.0121434e-01,-8.9309468e-11,9.9099031e-11
1.2061550e-05,-9.0497693e-01,-8.9617030e-11,9.9026867e-11
1.2071550e-05,-9.0873059e-01,-8.9920774e-11,9.8952071e-11
1.2081550e-05,-9.1247529e-01,-9.0220675e-11,9.8874650e-11
1.2091550e-05,-9.1621097e-01,-9.0516706e-11,9.8794611e-11
1.2101550e-05,-9.1993762e-01,-9.0808845e-11,9.8711960e-11
1.2111550e-05,-9.2365518e-01,-9.1097065e-11,9.8626702e-11
1.2121550e-05,-9.2736363e-01,-9.1381342e-11,9.8538846e-11
1.2131550e-05,-9.3106293e-01,-9.1661653e-11,9.8448397e-11
1.2141550e-05,-9.3475303e-01,-9.1937973e-11,9.8355362e-11
1.2151550e-05,-9.3843392e-01,-9.2210279e-11,9.8259746e-11
1.2161550e-05,-9.4210553e-01,-9.2478547e-11,9.8161558e-11
1.2171550e-05,-9.4576786e-01,-9.2742755e-11,9.8060802e-11
1.2181550e-05,-9.4942084e-01,-9.3002879e-11,9.7957486e-11
1.2191550e-05,-9.5306446e-01,-9.3258898e-11,9.7851616e-11
1.2201550e-05,-9.5669867e-01,-9.3510789e-11,9.7743199e-11
1.2211550e-05,-9.6032344e-01,-9.3758530e-11,9.7632241e-11
1.2221550e-05,-9.6393873e-01,-9.4002099e-11,9.7518750e-11
1.2231550e-05,-9.6754450e-01,-9.4241477e-11,9.7402731e-11
1.2241550e-05,-9.7114073e-01,-9.4476640e-11,9.7284191e-11
1.2251550e-05,-9.7472737e-01,-9.4707569e-11,9.7163137e-11
1.2261550e-05,-9.7830439e-01,-9.4934243e-11,9.7039576e-11
1.2271550e-05,-9.8187176e-01,-9.5156643e-11,9.6913514e-11
1.2281550e-05,-9.8542944e-01,-9.5374747e-11,9.6784959e-11
1.2291550e-05,-9.8897739e-01,-9.5588538e-11,9.6653916e-11
1.2301550e-05,-9.9251558e-01,-9.5797994e-11,9.6520394e-11
1.2311550e-05,-9.9604397e-01,-9.6003098e-11,9.6384398e-11
1.2321550e-05,-9.9956253e-01,-9.6203831e-11,9.6245936e-11
1.2331550e-05,-1.0030712e+00,-9.6400175e-11,9.6105014e-11
1.2341550e-05,-1.0065700e+00,-9.6592110e-11,9.5961639e-11
1.2351550e-05,-1.0100589e+00,-9.6779620e-11,9.5815819e-11
1.2361550e-05,-1.0135378e+00,-9.6962687e-11,9.5667560e-11
1.2371550e-05,-1.0170067e+00,-9.7141295e-11,9.5516870e-11
1.2381550e-05,-1.0204655e+00,-9.7315425e-11,9.5363755e-11
1.2391550e-05,-1.0239143e+00,-9.7485061e-11,9.5208222e-11
1.2401550e-05,-1.0273530e+00,-9.7650187e-11,9.5050278e-11
1.2411550e-05,-1.0307815e+00,-9.7810788e-11,9.4889931e-11
1.2421550e-05,-1.0341999e+00,-9.7966847e-11,9.4727188e-11
1.2431550e-05,-1.0376080e+00,-9.8118349e-11,9.4562055e-11
1.2441550e-05,-1.0410060e+00,-9.8265279e-11,9.4394540e-11
1.2451550e-05,-1.0443936e+00,-9.8407622e-11,9.4224650e-11
1.2461550e-05,-1.0477709e+00,-9.8545363e-11,9.4052392e-11
1.2471550e-05,-1.0511379e+00,-9.8678489e-11,9.3877774e-11
1.2481550e-05,-1.0544945e+00,-9.8806986e-11,9.3700803e-11
1.2491550e-05,-1.0578408e+00,-9.8930839e-11,9.3521486e-11
1.2501550e-05,-1.0611765e+00,-9.9050036e-11,9.3339830e-11
1.2511550e-05,-1.0645018e+00,-9.9164564e-11,9.3155842e-11
1.2521550e-05,-1.0678166e+00,-9.9274410e-11,9.2969531e-11
1.2531550e-05,-1.0711209e+00,-9.9379561e-11,9.2780902e-11
1.2541550e-05,-1.0744146e+00,-9.9480006e-11,9.2589965e-11
1.2551550e-05,-1.0776976e+00,-9.9575732e-11,9.2396726e-11
1.2561550e-05,-1.0809701e+00,-9.9666729e-11,9.2201192e-11
1.2571550e-05,-1.0842318e+00,-9.9752985e-11,9.2003371e-11
1.2581550e-05,-1.0874829e+00,-9.9834489e-11,9.1803271e-11
1.2591550e-05,-1.0907232e+00,-9.9911230e-11,9.1600899e-11
1.2601550e-05,-1.0939528e+00,-9.9983199e-11,9.1396263e-11
1.2611550e-05,-1.0971716e+00,-1.0005039e-10,9.1189369e-11
1.2621550e-05,-1.1003795e+00,-1.0011278e-10,9.0980226e-11
1.2631550e-05,-1.1035766e+00,-1.0017037e-10,9.0768841e-11
1.2641550e-05,-1.1067628e+00,-1.0022315e-10,9.0555223e-11
1.2651550e-05,-1.1099381e+00,-1.0027112e-10,9.0339377e-11
1.2661550e-05,-1.1131024e+00,-1.0031425e-10,9.0121313e-11
1.2671550e-05,-1.1162557e+00,-1.0035255e-10,8.9901038e-11
1.2681550e-05,-1.1193981e+00,-1.0038600e-10,8.9678559e-11
1.2691550e-05,-1.1225293e+00,-1.0041461e-10,8.9453884e-11
1.2701550e-05,-1.1256495e+00,-1.0043835e-10,8.9227022e-11
1.2711550e-05,-1.1287586e+00,-1.0045723e-10,8.8997979e-11
1.2721550e-05,-1.1318565e+00,-1.0047124e-10,8.8766764e-11
1.2731550e-05,-1.1349433e+00,-1.0048037e-10,8.8533384e-11
1.2741550e-05,-1.1380189e+00,-1.0048461e-10,8.8297847e-11
1.2751550e-05,-1.1410832e+00,-1.0048397e-10,8.8060161e-11
1.2761550e-05,-1.1441363e+00,-1.0047843e-10,8.7820334e-11
1.2771550e-05,-1.1471780e+00,-1.0046799e-10,8.7578374e-11
1.2781550e-05,-1.1502085e+00,-1.0045264e-10,8.7334289e-11
1.2791550e-05,-1.1532276e+00,-1.0043238e-10,8.7088087e-11
1.2801550e-05,-1.1562353e+00,-1.0040721e-10,8.6839775e-11
1.2811550e-05,-1.1592316e+00,-1.0037713e-10,8.6589361e-11
1.2821550e-05,-1.1622165e+00,-1.0034212e-10,8.6336854e-11
1.2831550e-05,-1.1651899e+00,-1.0030218e-10,8.6082262e-11
1.2841550e-05,-1.1681518e+00,-1.0025732e-10,8.5825592e-11
1.2851550e-05,-1.1711022e+00,-1.0020753e-10,8.5566854e-11
1.2861550e-05,-1.1740410e+00,-1.0015280e-10,8.5306053e-11
1.2871550e-05,-1.1769682e+00,-1.0009314e-10,8.5043200e-11
1.2881550e-05,-1.1798838e+00,-1.0002855e-10,8.4778302e-11
1.2891550e-05,-1.1827878e+00,-9.9959011e-11,8.4511367e-11
1.2901550e-05,-1.1856801e+00,-9.9884538e-11,8.4242403e-11
1.2911550e-05,-1.1885606e+00,-9.9805124e-11,8.3971419e-11
1.2921550e-05,-1.1914295e+00,-9.9720770e-11,8.3698422e-11
1.2931550e-05,-1.1942866e+00,-9.9631475e-11,8.3423422e-11
1.2941550e-05,-1.1971319e+00,-9.9537239e-11,8.3146425e-11
1.2951550e-05,-1.1999654e+00,-9.9438063e-11,8.2867441e-11
1.2961550e-05,-1.2027871e+00,-9.9333947e-11,8.2586478e-11
1.2971550e-05,-1.2055968e+00,-9.9224892e-11,8.2303544e-11
1.2981550e-05,-1.2083947e+00,-9.9110899e-11,8.2018647e-11
1.2991550e-05,-1.2111807e+00,-9.8991971e-11,8.1731795e-11
1.3001550e-05,-1.2139547e+00,-9.8868108e-11,8.1442998e-11
1.3011550e-05,-1.2167167e+00,-9.8739313e-11,8.1152263e-11
